"","anger","awareness","choice","depth","embarrassment","fatigue","fear","figuring_out","guilt","happiness","hunger","hurt_feelings","love","memory","nausea","pain","pride","sadness","smell","temperature"
"elephant",0.75,0.576923076923077,0.285714285714286,0.458333333333333,0.576923076923077,0.75,0.571428571428571,0.535714285714286,0.428571428571429,0.892857142857143,0.785714285714286,0.571428571428571,0.642857142857143,0.461538461538462,0.571428571428571,0.857142857142857,0.857142857142857,0.392857142857143,0.642857142857143,0.535714285714286
"goat",0.857142857142857,0.5,0.642857142857143,0.5,0.571428571428571,0.892857142857143,0.714285714285714,0.535714285714286,0.428571428571429,0.821428571428571,1,0.607142857142857,0.714285714285714,0.5,0.571428571428571,0.75,0.714285714285714,0.714285714285714,0.857142857142857,0.428571428571429
"mouse",0.533333333333333,0.433333333333333,0.5,0.366666666666667,0.5,0.8,0.866666666666667,0.3,0.214285714285714,0.833333333333333,0.933333333333333,0.533333333333333,0.866666666666667,0.5,0.7,0.6,0.9,0.6,0.733333333333333,0.3
"bird",0.409090909090909,0.416666666666667,0.541666666666667,0.5,0.416666666666667,0.75,0.791666666666667,0.458333333333333,0.375,0.791666666666667,1,0.25,0.791666666666667,0.75,0.541666666666667,0.5,0.583333333333333,0.458333333333333,0.791666666666667,0.708333333333333
"beetle",0.892857142857143,0.5,0.5,0.607142857142857,0.571428571428571,0.857142857142857,0.535714285714286,0.607142857142857,0.392857142857143,0.821428571428571,0.892857142857143,0.642857142857143,0.678571428571429,0.607142857142857,0.5,0.428571428571429,0.464285714285714,0.607142857142857,0.678571428571429,0.5
"teddy_bear",0.3125,0.375,0.266666666666667,0.46875,0.25,0.375,0.15625,0.366666666666667,0.25,0.40625,0.333333333333333,0.233333333333333,0.4,0.375,0.25,0.4,0.3125,0.25,0.375,0.266666666666667
"doll",0.269230769230769,0.307692307692308,0.423076923076923,0.269230769230769,0.230769230769231,0.307692307692308,0.230769230769231,0.153846153846154,0.153846153846154,0.538461538461538,0.333333333333333,0.384615384615385,0.375,0.307692307692308,0.307692307692308,0.192307692307692,0.346153846153846,0.461538461538462,0.153846153846154,0.230769230769231
"robot",0.208333333333333,0.208333333333333,0.416666666666667,0.166666666666667,0.166666666666667,0.416666666666667,0.333333333333333,0.416666666666667,0.333333333333333,0.791666666666667,0.333333333333333,0.166666666666667,0.708333333333333,0.333333333333333,0.25,0.375,0.791666666666667,0.416666666666667,0.25,0.291666666666667
"computer",0.307692307692308,0.5,0.230769230769231,0.423076923076923,0.0769230769230769,0.464285714285714,0.25,0.5,0.192307692307692,0.464285714285714,0.192307692307692,0.285714285714286,0.307692307692308,0.423076923076923,0.0714285714285714,0.153846153846154,0.285714285714286,0.269230769230769,0.269230769230769,0.384615384615385
